row_type,metric,horizon,baseline,n_consumers,skew_delta,HL_effect,HL_CI_low,HL_CI_high,p_Wilcoxon_less,p_Wilcoxon_greater,p_friedman,avg_ranks,CD_0.05,p_Wilcoxon_less_adj,p_Wilcoxon_greater_adj,decision
wilcoxon,RMSE,1,LSTM,18,-2.393714945679927,-11.090011332230365,-12.629346284267335,-2.21331710332618,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
wilcoxon,RMSE,1,CNNLSTM,18,-1.2902206390556772,-10.046530123020913,-13.801959214032575,-2.0756218920221183,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
friedman,RMSE,1,ALL,18,,,,,,,7.859379813623946e-12,"{'CNNLSTM': 2.3333333333333335, 'LSTM': 2.6666666666666665, 'fine_tuned': 1.0}",0.7812335287928025,,,
wilcoxon,RMSE,3,LSTM,18,-3.020108008057328,-14.027691630097236,-16.75313794948221,-2.8493209421450554,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
wilcoxon,RMSE,3,CNNLSTM,18,-3.195146770420711,-14.079553216858244,-17.466430103027434,-3.2280240268251497,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
friedman,RMSE,3,ALL,18,,,,,,,5.820766091346741e-11,"{'CNNLSTM': 2.5, 'LSTM': 2.5, 'fine_tuned': 1.0}",0.7812335287928025,,,
wilcoxon,RMSE,7,LSTM,18,-3.45208477657674,-17.76063450977751,-26.479672981090758,-3.6908963481399484,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
wilcoxon,RMSE,7,CNNLSTM,18,-3.4412233045326257,-17.927386254002357,-26.473871280758395,-3.507356283682069,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
friedman,RMSE,7,ALL,18,,,,,,,7.859379813623946e-12,"{'CNNLSTM': 2.3333333333333335, 'LSTM': 2.6666666666666665, 'fine_tuned': 1.0}",0.7812335287928025,,,
wilcoxon,MAPE,1,LSTM,18,0.7178711306872702,-0.10629751959443093,-0.13117405796051024,-0.08091794914007183,0.00041961669921875,0.999664306640625,,,,0.0013427734375,1.0,better
wilcoxon,MAPE,1,CNNLSTM,18,0.9826918499072235,-0.09969487177580597,-0.13618775266408922,-0.06789917099475862,0.000789642333984375,0.9993553161621094,,,,0.0013427734375,1.0,better
friedman,MAPE,1,ALL,18,,,,,,,1.4157697078687193e-05,"{'CNNLSTM': 2.2222222222222223, 'LSTM': 2.5555555555555554, 'fine_tuned': 1.2222222222222223}",0.7812335287928025,,,
wilcoxon,MAPE,3,LSTM,18,-0.41771919597708146,-0.1808363201208413,-0.22315446972846975,-0.13741094899177558,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
wilcoxon,MAPE,3,CNNLSTM,18,-0.16122679609044613,-0.18036785095930102,-0.23594112914800647,-0.1379004857540131,3.814697265625e-06,1.0,,,,2.288818359375e-05,1.0,better
friedman,MAPE,3,ALL,18,,,,,,,2.4608093340816595e-11,"{'CNNLSTM': 2.611111111111111, 'LSTM': 2.388888888888889, 'fine_tuned': 1.0}",0.7812335287928025,,,
wilcoxon,MAPE,7,LSTM,18,1.6295533881755668,-0.19477820995450018,-0.22889894878864292,-0.17226242554187782,0.000335693359375,0.9997329711914062,,,,0.0013427734375,1.0,better
wilcoxon,MAPE,7,CNNLSTM,18,1.9267441052191612,-0.20046246650069957,-0.23281132909655577,-0.16977650612592704,0.00041961669921875,0.999664306640625,,,,0.0013427734375,1.0,better
friedman,MAPE,7,ALL,18,,,,,,,2.0622763086119988e-07,"{'CNNLSTM': 2.5, 'LSTM': 2.388888888888889, 'fine_tuned': 1.1111111111111112}",0.7812335287928025,,,
