model_type,horizon,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,q1_RMSE,q1_MAPE,q2_RMSE,q2_MAPE,q3_RMSE,q3_MAPE,best_RMSE,best_MAPE
LSTM,1,87.892,231.934,0.38,0.311,3.149,0.178,9.486,0.29,66.83,0.514,0.451,0.017
CNNLSTM,1,80.747,199.266,0.375,0.304,3.18,0.177,9.619,0.275,64.313,0.499,0.473,0.019
fine_tuned,1,63.735,170.138,0.266,0.222,1.76,0.162,6.084,0.21,56.402,0.307,6.084,0.21
LSTM,3,100.186,245.916,0.448,0.319,3.685,0.21,10.398,0.366,75.773,0.608,0.477,0.019
CNNLSTM,3,104.107,257.279,0.449,0.316,3.565,0.204,10.799,0.369,75.355,0.614,0.552,0.022
fine_tuned,3,61.356,157.583,0.247,0.191,2.737,0.167,6.23,0.205,59.24,0.31,6.23,0.205
LSTM,7,118.392,278.19,0.505,0.32,4.155,0.256,11.85,0.448,87.92,0.684,0.623,0.025
CNNLSTM,7,117.81,278.749,0.502,0.319,4.075,0.254,12.163,0.441,87.652,0.681,0.666,0.028
fine_tuned,7,64.821,158.742,0.311,0.265,2.979,0.175,7.572,0.24,65.908,0.352,7.572,0.24
